Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
21 W. Caballero,38,Argentina,Chelsea,€475K,Right,13,186cm,83kg,GK,2021,Thomas Tuchel,2.28 Years
E. Mendy,29,Senegal,Chelsea,€30M,Right,16,197cm,86kg,GK,2025,Thomas Tuchel,2.28 Years
M. Bettinelli,29,England,Chelsea,€1.6M,Right,13,194cm,82kg,GK,2023,Thomas Tuchel,2.28 Years
L. Bergström,18,Finland,Chelsea,€275K,Right,36,200cm,84kg,GK,2024,Thomas Tuchel,2.28 Years
J. Veretout,28,France,AS Roma,€29.5M,Right,17,177cm,67kg,CDM,2024,José Mourinho,1.79 Years
L. Pellegrini,25,Italy,AS Roma,€38M,Right,7,186cm,77kg,CAM,2022,José Mourinho,1.79 Years
H. Mkhitaryan,32,Armenia,AS Roma,€29.5M,Right,77,177cm,75kg,CF,2022,José Mourinho,1.79 Years
16 Maicon,33,Brazil,AS Roma,€2.9M,Right,13,184cm,77kg,RWB,2016,José Mourinho,1.79 Years
R. Karsdorp,26,Netherlands,AS Roma,€16.5M,Right,2,184cm,80kg,RWB,2025,José Mourinho,1.79 Years
L. Spinazzola,28,Italy,AS Roma,€33M,Right,37,186cm,75kg,LWB,2024,José Mourinho,1.79 Years
N. Zaniolo,21,Italy,AS Roma,€31.5M,Left,22,190cm,79kg,CAM,2024,José Mourinho,1.79 Years
B. Cristante,26,Italy,AS Roma,€17.5M,Right,4,186cm,80kg,CM,2024,José Mourinho,1.79 Years
S. El Shaarawy,28,Italy,AS Roma,€17.5M,Right,92,178cm,73kg,LW,2023,José Mourinho,1.79 Years
M. Viña,23,Uruguay,AS Roma,€11M,Left,5,181cm,70kg,LWB,2026,José Mourinho,1.79 Years
16 S. Keita,35,Mali,AS Roma,€900K,Left,20,183cm,75kg,CB,2016,José Mourinho,1.79 Years
Gonzalo Villar,23,Spain,AS Roma,€15M,Right,8,181cm,73kg,CM,2024,José Mourinho,1.79 Years
D. Santon,30,Italy,AS Roma,€3.6M,Right,18,187cm,77kg,RWB,2022,José Mourinho,1.79 Years
Borja Mayoral,24,Spain,AS Roma,€11.5M,Right,21,182cm,74kg,ST,30-Jun-22,José Mourinho,1.79 Years
A. Diawara,23,Guinea,AS Roma,€9M,Right,42,183cm,75kg,CDM,2024,José Mourinho,1.79 Years
S. Nzonzi,32,France,AS Roma,€9.5M,Right,70,196cm,89kg,CDM,2022,José Mourinho,1.79 Years
17 F. Totti,39,Italy,AS Roma,€1.5M,Right,10,180cm,82kg,CAM,2017,José Mourinho,1.79 Years
Carles Pérez,23,Spain,AS Roma,€9M,Left,31,173cm,75kg,CAM,2024,José Mourinho,1.79 Years
C. Smalling,31,England,AS Roma,€9.5M,Right,6,194cm,81kg,CB,2023,José Mourinho,1.79 Years
E. Shomurodov,26,Uzbekistan,AS Roma,€2.5M,Right,14,190cm,76kg,ST,2026,José Mourinho,1.79 Years
T. Abraham,23,England,AS Roma,€31.5M,Right,9,196cm,87kg,ST,2026,José Mourinho,1.79 Years
G. Mancini,25,Italy,AS Roma,€26.5M,Right,23,190cm,77kg,CB,2024,José Mourinho,1.79 Years
E. Darboe,20,Gambia,AS Roma,€1.8M,Right,55,176cm,70kg,CDM,2023,José Mourinho,1.79 Years
R. Calafiori,19,Italy,AS Roma,€2.7M,Left,61,183cm,78kg,LB,2025,José Mourinho,1.79 Years
Ibañez,22,Brazil,AS Roma,€22M,Right,3,185cm,73kg,CB,2025,José Mourinho,1.79 Years
B. Reynolds,20,United States,AS Roma,€1.8M,Right,19,188cm,75kg,RWB,2025,José Mourinho,1.79 Years
E. Bove,19,Italy,AS Roma,€775K,Right,52,174cm,65kg,CM,2024,José Mourinho,1.79 Years
N. Zalewski,19,Poland,AS Roma,€1.1M,Right,59,175cm,75kg,CAM,2024,José Mourinho,1.79 Years
A. Riccardi,20,Italy,AS Roma,€950K,Right,97,178cm,68kg,CAM,2023,José Mourinho,1.79 Years
M. Kumbulla,21,Albania,AS Roma,€8M,Right,24,191cm,78kg,CB,30-Jun-22,José Mourinho,1.79 Years
21 M. Antonucci,21,Italy,AS Roma,€2.3M,Right,48,181cm,76kg,RM,2022,José Mourinho,1.79 Years
F. Fazio,34,Argentina,AS Roma,€1.8M,Right,20,195cm,85kg,CB,2022,José Mourinho,1.79 Years
21 M. Bamba,18,Côte d'Ivoire,AS Roma,€900K,Left,67,167cm,60kg,LM,2022,José Mourinho,1.79 Years
F. Tripi,19,Italy,AS Roma,€550K,Right,65,185cm,69kg,CB,2024,José Mourinho,1.79 Years
Rui Patrício,33,Portugal,AS Roma,€10M,Left,1,190cm,84kg,GK,2024,José Mourinho,1.79 Years
21 D. Bouah,18,Italy,AS Roma,€110K,Right,51,177cm,74kg,RB,2024,José Mourinho,1.79 Years
21 A. Mirante,36,Italy,AS Roma,€1.6M,Right,83,193cm,79kg,GK,2021,José Mourinho,1.79 Years
18 B. Lobonţ,39,Romania,AS Roma,€50K,Right,18,185cm,78kg,GK,2018,José Mourinho,1.79 Years
Daniel Fuzato,23,Brazil,AS Roma,€1.5M,Right,87,190cm,86kg,GK,2022,José Mourinho,1.79 Years
P. Boer,19,Italy,AS Roma,€275K,Right,63,193cm,80kg,GK,2024,José Mourinho,1.79 Years
Lucas Paquetá,23,Brazil,Olympique Lyon,€37M,Left,10,180cm,72kg,CAM,2025,Peter Bosz,1.52 Years
H. Aouar,23,France,Olympique Lyon,€39M,Right,8,175cm,70kg,CAM,2023,Peter Bosz,1.52 Years
Thiago Mendes,29,Brazil,Olympique Lyon,€9M,Right,23,177cm,75kg,CDM,2023,Peter Bosz,1.52 Years
Bruno Guimarães,23,Brazil,Olympique Lyon,€24.5M,Right,39,182cm,78kg,CM,2024,Peter Bosz,1.52 Years
X. Shaqiri,29,Switzerland,Olympique Lyon,€17M,Left,29,169cm,72kg,RM,2024,Peter Bosz,1.52 Years
L. Dubois,26,France,Olympique Lyon,€15M,Right,14,178cm,65kg,RB,2024,Peter Bosz,1.52 Years
Emerson,26,Italy,Olympique Lyon,€15M,Left,3,176cm,79kg,LB,30-Jun-22,Peter Bosz,1.52 Years
M. Caqueret,21,France,Olympique Lyon,€30M,Right,25,174cm,63kg,CM,2023,Peter Bosz,1.52 Years
J. Reine-Adélaïde,23,France,Olympique Lyon,€11M,Right,22,184cm,75kg,CAM,2024,Peter Bosz,1.52 Years
17 G. Fofana,25,France,Olympique Lyon,€3.5M,Right,6,182cm,74kg,CM,2017,Peter Bosz,1.52 Years
J. Boateng,32,Germany,Olympique Lyon,€23.5M,Right,27,190cm,94kg,CB,2023,Peter Bosz,1.52 Years
T. Kadewere,25,Zimbabwe,Olympique Lyon,€14M,Right,11,183cm,71kg,ST,2024,Peter Bosz,1.52 Years
I. Slimani,33,Algeria,Olympique Lyon,€4.8M,Right,20,188cm,83kg,ST,2022,Peter Bosz,1.52 Years
J. Denayer,26,Belgium,Olympique Lyon,€24.5M,Right,5,184cm,80kg,CB,2022,Peter Bosz,1.52 Years
K. Toko Ekambi,28,Cameroon,Olympique Lyon,€14M,Right,7,185cm,74kg,LW,2024,Peter Bosz,1.52 Years
M. Dembélé,24,France,Olympique Lyon,€20.5M,Right,9,183cm,79kg,ST,2023,Peter Bosz,1.52 Years
P. Diop,23,Senegal,Olympique Lyon,€2.6M,Right,24,180cm,68kg,CDM,2022,Peter Bosz,1.52 Years
M. Gusto,18,France,Olympique Lyon,€2.7M,Right,17,179cm,74kg,RWB,2024,Peter Bosz,1.52 Years
S. Diomande,20,Côte d'Ivoire,Olympique Lyon,€6M,Right,2,184cm,74kg,CB,2025,Peter Bosz,1.52 Years
Henrique,27,Brazil,Olympique Lyon,€2M,Left,12,173cm,72kg,LB,2024,Peter Bosz,1.52 Years
Marcelo,34,Brazil,Olympique Lyon,€3.4M,Right,6,191cm,85kg,CB,2023,Peter Bosz,1.52 Years
R. Cherki,17,France,Olympique Lyon,€7M,Left,18,176cm,71kg,CAM,2023,Peter Bosz,1.52 Years
D. Da Silva,33,France,Olympique Lyon,€5M,Right,21,184cm,83kg,CB,2023,Peter Bosz,1.52 Years
F. Da Silva,18,France,Olympique Lyon,€1.2M,Right,28,178cm,67kg,CAM,2025,Peter Bosz,1.52 Years
20 M. Yanga-Mbiwa,30,France,Olympique Lyon,€2.5M,Right,2,184cm,77kg,CB,2020,Peter Bosz,1.52 Years
L. Pintor,20,France,Olympique Lyon,€1.6M,Right,31,179cm,66kg,ST,2023,Peter Bosz,1.52 Years
T. Thomas,19,France,Olympique Lyon,€575K,Right,32,183cm,74kg,CDM,2022,Peter Bosz,1.52 Years
21 D. Benlamri,30,Algeria,Olympique Lyon,€1.9M,Right,3,190cm,83kg,CB,2021,Peter Bosz,1.52 Years
C. Lukeba,18,France,Olympique Lyon,€1.6M,Left,4,184cm,73kg,CB,2024,Peter Bosz,1.52 Years
B. Barcola,18,France,Olympique Lyon,€825K,Right,33,182cm,76kg,ST,2024,Peter Bosz,1.52 Years
20 R. Griffiths,19,England,Olympique Lyon,€650K,Right,41,180cm,76kg,ST,2022,Peter Bosz,1.52 Years
A. Lopes,30,Portugal,Olympique Lyon,€23M,Left,1,184cm,81kg,GK,2023,Peter Bosz,1.52 Years
J. Pollersbeck,26,Germany,Olympique Lyon,€2M,Right,30,195cm,87kg,GK,2024,Peter Bosz,1.52 Years
M. Barcola,22,Togo,Olympique Lyon,€775K,Right,16,197cm,83kg,GK,2022,Peter Bosz,1.52 Years
F. Kessié,24,Côte d'Ivoire,AC Milan,€49.5M,Right,79,183cm,88kg,CDM,2022,Stefano Pioli,1.20 Years
T. Hernández,23,France,AC Milan,€62.5M,Left,19,184cm,81kg,LB,2024,Stefano Pioli,1.20 Years
A. Florenzi,30,Italy,AC Milan,€22M,Right,25,173cm,67kg,RB,30-Jun-22,Stefano Pioli,1.20 Years
I. Bennacer,23,Algeria,AC Milan,€30M,Left,4,175cm,70kg,CM,2024,Stefano Pioli,1.20 Years
A. Rebić,27,Croatia,AC Milan,€32.5M,Right,12,185cm,78kg,LM,2025,Stefano Pioli,1.20 Years
S. Tonali,21,Italy,AC Milan,€22.5M,Right,8,181cm,79kg,CM,2026,Stefano Pioli,1.20 Years
12 G. Zambrotta,34,Italy,AC Milan,€825K,Right,19,181cm,76kg,CM,2012,Stefano Pioli,1.20 Years
Z. Ibrahimović,39,Sweden,AC Milan,€14.5M,Right,11,195cm,95kg,ST,2022,Stefano Pioli,1.20 Years
R. Krunić,27,Bosnia and Herzegovina,AC Milan,€6M,Right,33,184cm,74kg,CM,2024,Stefano Pioli,1.20 Years
21 M. Mandžukić,34,Croatia,AC Milan,€7M,Right,9,190cm,85kg,ST,2021,Stefano Pioli,1.20 Years
19 R. Montolivo,33,Italy,AC Milan,€4.2M,Right,18,181cm,76kg,CM,2023,Stefano Pioli,1.20 Years
A. Saelemaekers,22,Belgium,AC Milan,€11.5M,Right,56,180cm,72kg,RM,2024,Stefano Pioli,1.20 Years
D. Laxalt,27,Uruguay,AC Milan,€2.9M,Left,91,178cm,71kg,LB,2022,Stefano Pioli,1.20 Years
19 I. Abate,31,Italy,AC Milan,€6M,Right,20,180cm,73kg,RWB,2023,Stefano Pioli,1.20 Years
D. Calabria,24,Italy,AC Milan,€18M,Right,2,177cm,70kg,RB,2025,Stefano Pioli,1.20 Years
A. Conti,27,Italy,AC Milan,€8M,Right,14,184cm,76kg,RB,2022,Stefano Pioli,1.20 Years
20 I. Strinić,31,Croatia,AC Milan,€2.9M,Left,23,186cm,78kg,LB,2021,Stefano Pioli,1.20 Years
Samu Castillejo,26,Spain,AC Milan,€11.5M,Left,7,182cm,67kg,RW,2023,Stefano Pioli,1.20 Years
T. Bakayoko,26,France,AC Milan,€19.5M,Right,99,189cm,85kg,CDM,30-Jun-23,Stefano Pioli,1.20 Years
S. Kjær,32,Denmark,AC Milan,€23.5M,Right,24,190cm,86kg,CB,2022,Stefano Pioli,1.20 Years
O. Giroud,34,France,AC Milan,€8.5M,Left,9,193cm,91kg,ST,2024,Stefano Pioli,1.20 Years
F. Ballo-Touré,24,Senegal,AC Milan,€3.1M,Left,5,182cm,70kg,LWB,2025,Stefano Pioli,1.20 Years
Rafael Leão,22,Portugal,AC Milan,€16M,Right,17,188cm,81kg,RM,2024,Stefano Pioli,1.20 Years
Brahim,21,Spain,AC Milan,€31.5M,Right,10,171cm,59kg,CAM,30-Jun-23,Stefano Pioli,1.20 Years
16 P. Mexès,33,France,AC Milan,€3.1M,Right,5,187cm,82kg,CB,2016,Stefano Pioli,1.20 Years
Junior Messias,30,Brazil,AC Milan,€4.1M,Left,30,179cm,70kg,CAM,30-Jun-22,Stefano Pioli,1.20 Years
F. Tomori,23,England,AC Milan,€25M,Right,23,185cm,79kg,CB,2025,Stefano Pioli,1.20 Years
A. Romagnoli,26,Italy,AC Milan,€31.5M,Left,13,185cm,75kg,CB,2022,Stefano Pioli,1.20 Years
16 Alex,33,Brazil,AC Milan,€4.5M,Right,33,188cm,92kg,CB,2016,Stefano Pioli,1.20 Years
P. Kalulu,21,France,AC Milan,€3.3M,Right,20,184cm,69kg,CB,2025,Stefano Pioli,1.20 Years
08 Cafu,37,Brazil,AC Milan,€ 0,Right,2,176cm,75kg,CF,2007,Stefano Pioli,1.20 Years
17 N. Oduamadi,25,Nigeria,AC Milan,€625K,Right,90,175cm,65kg,RM,2021,Stefano Pioli,1.20 Years
D. Maldini,19,Italy,AC Milan,€575K,Right,27,186cm,70kg,CAM,2024,Stefano Pioli,1.20 Years
P. Pellegri,20,Italy,AC Milan,€2.7M,Right,64,188cm,80kg,ST,30-Jun-22,Stefano Pioli,1.20 Years
L. Borges,19,Germany,AC Milan,€550K,Right,97,183cm,82kg,RB,2023,Stefano Pioli,1.20 Years
M. Gabbia,21,Italy,AC Milan,€2.8M,Right,46,185cm,78kg,CB,2024,Stefano Pioli,1.20 Years
12 F. Inzaghi,37,Italy,AC Milan,€350K,Right,9,181cm,74kg,ST,2012,Stefano Pioli,1.20 Years
21 G. Olzer,19,Italy,AC Milan,€525K,Left,92,188cm,75kg,CAM,2024,Stefano Pioli,1.20 Years
09 P. Maldini,40,Italy,AC Milan,€ 0,Right,3,186cm,85kg,CB,2009,Stefano Pioli,1.20 Years
M. Maignan,25,France,AC Milan,€49.5M,Right,16,191cm,89kg,GK,2026,Stefano Pioli,1.20 Years
21 L. Colombo,18,Italy,AC Milan,€825K,Left,29,183cm,74kg,ST,2024,Stefano Pioli,1.20 Years
18 J. Vergara,23,Colombia,AC Milan,€2.3M,Right,34,187cm,80kg,CB,2019,Stefano Pioli,1.20 Years
C. Tătărușanu,35,Romania,AC Milan,€1.2M,Right,1,198cm,90kg,GK,2023,Stefano Pioli,1.20 Years
18 M. Storari,40,Italy,AC Milan,€525K,Right,30,187cm,76kg,GK,2018,Stefano Pioli,1.20 Years
16 C. Abbiati,37,Italy,AC Milan,€1.3M,Right,32,191cm,92kg,GK,2020,Stefano Pioli,1.20 Years
A. Plizzari,21,Italy,AC Milan,€1.8M,Right,77,187cm,73kg,GK,2023,Stefano Pioli,1.20 Years
21 A. Donnarumma,29,Italy,AC Milan,€575K,Right,90,192cm,96kg,GK,2021,Stefano Pioli,1.20 Years
R. Malinovskyi,28,Ukraine,Atalanta BC,€26.5M,Left,18,181cm,79kg,CF,2023,Gian Piero Gasperini,2.77 Years
R. Gosens,26,Germany,Atalanta BC,€36M,Left,8,183cm,76kg,LWB,2023,Gian Piero Gasperini,2.77 Years
T. Koopmeiners,23,Netherlands,Atalanta BC,€24.5M,Left,7,183cm,77kg,CM,2026,Gian Piero Gasperini,2.77 Years
M. de Roon,30,Netherlands,Atalanta BC,€25.5M,Right,15,185cm,76kg,CDM,2024,Gian Piero Gasperini,2.77 Years
R. Freuler,29,Switzerland,Atalanta BC,€20.5M,Right,11,180cm,80kg,CM,2022,Gian Piero Gasperini,2.77 Years
M. Pašalić,26,Croatia,Atalanta BC,€17.5M,Right,88,188cm,82kg,CM,2025,Gian Piero Gasperini,2.77 Years
H. Hateboer,27,Netherlands,Atalanta BC,€25M,Right,33,185cm,72kg,RWB,2023,Gian Piero Gasperini,2.77 Years
J. Iličić,33,Slovenia,Atalanta BC,€27M,Left,72,190cm,79kg,CAM,2022,Gian Piero Gasperini,2.77 Years
D. Zappacosta,29,Italy,Atalanta BC,€15.5M,Right,77,182cm,75kg,RWB,2025,Gian Piero Gasperini,2.77 Years
L. Muriel,30,Colombia,Atalanta BC,€30M,Right,9,179cm,79kg,ST,2024,Gian Piero Gasperini,2.77 Years
M. Pessina,24,Italy,Atalanta BC,€22M,Left,32,183cm,75kg,CAM,2025,Gian Piero Gasperini,2.77 Years
J. Mæhle,24,Denmark,Atalanta BC,€15M,Right,3,185cm,79kg,RWB,2025,Gian Piero Gasperini,2.77 Years
20 Arana,22,Brazil,Atalanta BC,€5.5M,Left,13,176cm,68kg,LWB,30-Jun-20,Gian Piero Gasperini,2.77 Years
F. Mattiello,25,Italy,Atalanta BC,€2.2M,Left,14,184cm,70kg,LWB,2026,Gian Piero Gasperini,2.77 Years
D. Zapata,30,Colombia,Atalanta BC,€35.5M,Right,91,189cm,88kg,ST,2023,Gian Piero Gasperini,2.77 Years
Rafael Tolói,30,Italy,Atalanta BC,€17.5M,Right,2,185cm,75kg,CB,2023,Gian Piero Gasperini,2.77 Years
A. Miranchuk,25,Russia,Atalanta BC,€17.5M,Left,59,182cm,67kg,CAM,2025,Gian Piero Gasperini,2.77 Years
G. Pezzella,23,Italy,Atalanta BC,€3.3M,Left,13,185cm,81kg,LB,30-Jun-22,Gian Piero Gasperini,2.77 Years
15 L. Scaloni,36,Argentina,Atalanta BC,€ 0,Right,5,182cm,80kg,CB,2015,Gian Piero Gasperini,2.77 Years
16 G. Bellini,35,Italy,Atalanta BC,€150K,Right,6,180cm,77kg,CB,2016,Gian Piero Gasperini,2.77 Years
B. Djimsiti,28,Albania,Atalanta BC,€15M,Right,19,190cm,83kg,CB,2023,Gian Piero Gasperini,2.77 Years
M. Demiral,23,Turkey,Atalanta BC,€15M,Right,28,190cm,86kg,CB,30-Jun-22,Gian Piero Gasperini,2.77 Years
J. Palomino,31,Argentina,Atalanta BC,€7M,Left,6,188cm,87kg,CB,2022,Gian Piero Gasperini,2.77 Years
M. Lovato,21,Italy,Atalanta BC,€4.9M,Right,66,188cm,78kg,CB,2025,Gian Piero Gasperini,2.77 Years
21 C. Capone,21,Italy,Atalanta BC,€2.1M,Right,50,183cm,75kg,RM,2021,Gian Piero Gasperini,2.77 Years
R. Piccoli,20,Italy,Atalanta BC,€2.5M,Right,99,183cm,78kg,ST,2025,Gian Piero Gasperini,2.77 Years
M. Tumminello,21,Italy,Atalanta BC,€1.1M,Left,98,180cm,76kg,ST,2022,Gian Piero Gasperini,2.77 Years
M. Sportiello,29,Italy,Atalanta BC,€5M,Right,57,192cm,87kg,GK,2022,Gian Piero Gasperini,2.77 Years
J. Musso,27,Argentina,Atalanta BC,€23.5M,Right,1,191cm,93kg,GK,2025,Gian Piero Gasperini,2.77 Years
15 G. Frezzolini,38,Italy,Atalanta BC,€60K,Right,78,187cm,81kg,GK,2016,Gian Piero Gasperini,2.77 Years
21 M. Carnesecchi,20,Italy,Atalanta BC,€2M,Right,24,191cm,83kg,GK,2023,Gian Piero Gasperini,2.77 Years
F. Rossi,30,Italy,Atalanta BC,€160K,Right,31,193cm,83kg,GK,2022,Gian Piero Gasperini,2.77 Years
D. Wass,32,Denmark,Valencia,€16.5M,Right,18,181cm,74kg,CM,2022,Pepe Bordalás,1.57 Years
Carlos Soler,24,Spain,Valencia,€51.5M,Right,10,180cm,76kg,CAM,2023,Pepe Bordalás,1.57 Years
Gayà,26,Spain,Valencia,€43.5M,Left,14,172cm,66kg,LWB,2023,Pepe Bordalás,1.57 Years
U. Račić,23,Serbia,Valencia,€28M,Right,8,193cm,81kg,CM,2024,Pepe Bordalás,1.57 Years
D. Cheryshev,30,Russia,Valencia,€7M,Left,17,179cm,74kg,LM,2022,Pepe Bordalás,1.57 Years
Gonçalo Guedes,24,Portugal,Valencia,€39M,Right,7,179cm,68kg,LM,2024,Pepe Bordalás,1.57 Years
Gabriel Paulista,30,Brazil,Valencia,€25M,Right,5,185cm,72kg,CB,2024,Pepe Bordalás,1.57 Years
12 Miguel,31,Portugal,Valencia,€1.3M,Right,23,179cm,78kg,RWB,2012,Pepe Bordalás,1.57 Years
D. Foulquier,28,France,Valencia,€9.5M,Right,20,183cm,78kg,RB,2025,Pepe Bordalás,1.57 Years
Manu Vallejo,24,Spain,Valencia,€8.5M,Right,21,167cm,72kg,ST,2024,Pepe Bordalás,1.57 Years
Jason,26,Spain,Valencia,€3.3M,Right,23,178cm,65kg,RM,2022,Pepe Bordalás,1.57 Years
M. Gómez,24,Uruguay,Valencia,€32M,Right,9,186cm,84kg,ST,2024,Pepe Bordalás,1.57 Years
20 E. Garay,32,Argentina,Valencia,€16.5M,Right,24,189cm,90kg,CB,2020,Pepe Bordalás,1.57 Years
Toni Lato,23,Spain,Valencia,€4.5M,Left,3,171cm,64kg,LB,2023,Pepe Bordalás,1.57 Years
Thierry Correia,22,Portugal,Valencia,€6.5M,Right,2,176cm,69kg,RB,2024,Pepe Bordalás,1.57 Years
O. Alderete,24,Paraguay,Valencia,€6M,Left,15,188cm,77kg,CB,30-Jun-22,Pepe Bordalás,1.57 Years
Y. Musah,18,United States,Valencia,€4M,Right,4,178cm,73kg,RM,2026,Pepe Bordalás,1.57 Years
Marcos André,24,Brazil,Valencia,€9M,Right,22,184cm,78kg,ST,2026,Pepe Bordalás,1.57 Years
C. Piccini,28,Italy,Valencia,€3.8M,Right,24,189cm,86kg,RB,2022,Pepe Bordalás,1.57 Years
K. Koindredi,19,France,Valencia,€2M,Left,27,184cm,77kg,CAM,2025,Pepe Bordalás,1.57 Years
Hélder Costa,27,Portugal,Valencia,€4.5M,Left,11,179cm,77kg,RM,30-Jun-22,Pepe Bordalás,1.57 Years
Hugo Guillamón,21,Spain,Valencia,€6.5M,Right,6,178cm,62kg,CDM,2023,Pepe Bordalás,1.57 Years
21 S. Emaná,26,Cameroon,Valencia,€950K,Right,29,181cm,74kg,ST,2022,Pepe Bordalás,1.57 Years
Pablo Gozálbez,20,Spain,Valencia,€1.7M,Right,38,170cm,65kg,CAM,2023,Pepe Bordalás,1.57 Years
21 E. Mangala,29,France,Valencia,€3.5M,Left,4,187cm,84kg,CB,2021,Pepe Bordalás,1.57 Years
Álex Blanco,22,Spain,Valencia,€3.6M,Left,16,175cm,70kg,LM,2022,Pepe Bordalás,1.57 Years
Jesús Vázquez,18,Spain,Valencia,€1.9M,Left,32,182cm,77kg,LB,2025,Pepe Bordalás,1.57 Years
M. Diakhaby,24,France,Valencia,€4.4M,Right,12,189cm,78kg,CB,2023,Pepe Bordalás,1.57 Years
Esquerdo,21,Spain,Valencia,€1.9M,Left,26,182cm,75kg,CAM,2024,Pepe Bordalás,1.57 Years
Hugo Duro,21,Spain,Valencia,€4.2M,Left,19,180cm,76kg,ST,30-Jun-22,Pepe Bordalás,1.57 Years
Diego López,19,Spain,Valencia,€850K,Right,33,172cm,63kg,ST,2024,Pepe Bordalás,1.57 Years
Guillem Molina,20,Spain,Valencia,€2.1M,Right,31,183cm,71kg,CB,2022,Pepe Bordalás,1.57 Years
W. Suzuki,18,Japan,Valencia,€525K,Right,31,192cm,85kg,ST,30-Jun-23,Pepe Bordalás,1.57 Years
Jaume,30,Spain,Valencia,€3.7M,Right,1,185cm,73kg,GK,2023,Pepe Bordalás,1.57 Years
J. Cillessen,32,Netherlands,Valencia,€13M,Right,13,185cm,83kg,GK,2023,Pepe Bordalás,1.57 Years
G. Mamardashvili,20,Georgia,Valencia,€10.5M,Left,28,199cm,88kg,GK,2022,Pepe Bordalás,1.57 Years
Cristian Rivero,23,Spain,Valencia,€2M,Right,25,188cm,75kg,GK,2024,Pepe Bordalás,1.57 Years
Y. Tielemans,24,Belgium,Leicester,€57M,Right,8,176cm,72kg,CM,2023,Brendan Rodgers,2.02 Years
Ricardo Pereira,27,Portugal,Leicester,€40.5M,Right,21,175cm,70kg,RB,2023,Brendan Rodgers,2.02 Years
J. Vardy,34,England,Leicester,€33M,Right,9,179cm,74kg,ST,2023,Brendan Rodgers,2.02 Years
W. Ndidi,24,Nigeria,Leicester,€66.5M,Right,25,183cm,74kg,CB,2024,Brendan Rodgers,2.02 Years
J. Maddison,24,England,Leicester,€41.5M,Right,10,175cm,73kg,CAM,2024,Brendan Rodgers,2.02 Years
Ayoze Pérez,27,Spain,Leicester,€15M,Right,17,178cm,72kg,RW,2023,Brendan Rodgers,2.02 Years
21 C. Fuchs,34,Austria,Leicester,€1.4M,Left,28,187cm,89kg,CB,2021,Brendan Rodgers,2.02 Years
M. Albrighton,31,England,Leicester,€6M,Right,11,175cm,74kg,RM,2024,Brendan Rodgers,2.02 Years
B. Soumaré,22,France,Leicester,€27M,Right,42,188cm,82kg,CDM,2026,Brendan Rodgers,2.02 Years
R. Bertrand,31,England,Leicester,€5.5M,Left,5,179cm,85kg,LB,2023,Brendan Rodgers,2.02 Years
H. Barnes,23,England,Leicester,€35M,Right,7,180cm,66kg,CAM,2025,Brendan Rodgers,2.02 Years
N. Mendy,29,Senegal,Leicester,€4.8M,Right,24,167cm,73kg,CDM,2023,Brendan Rodgers,2.02 Years
T. Castagne,25,Belgium,Leicester,€21.5M,Right,27,180cm,80kg,RB,2025,Brendan Rodgers,2.02 Years
K. Iheanacho,24,Nigeria,Leicester,€20.5M,Left,14,185cm,82kg,ST,2024,Brendan Rodgers,2.02 Years
J. Justin,23,England,Leicester,€15.5M,Right,2,183cm,80kg,LWB,2024,Brendan Rodgers,2.02 Years
D. Amartey,26,Ghana,Leicester,€8.5M,Right,18,186cm,79kg,CB,2022,Brendan Rodgers,2.02 Years
P. Daka,22,Zambia,Leicester,€21.5M,Right,29,183cm,71kg,ST,2026,Brendan Rodgers,2.02 Years
A. Lookman,23,England,Leicester,€16.5M,Right,37,174cm,71kg,RM,30-Jun-22,Brendan Rodgers,2.02 Years
C. Söyüncü,25,Turkey,Leicester,€25M,Right,4,185cm,82kg,CB,2023,Brendan Rodgers,2.02 Years
K. Dewsbury-Hall,22,England,Leicester,€4.2M,Left,22,177cm,70kg,CM,2024,Brendan Rodgers,2.02 Years
H. Choudhury,23,England,Leicester,€4M,Right,20,178cm,64kg,CB,2023,Brendan Rodgers,2.02 Years
L. Thomas,20,England,Leicester,€3.9M,Left,33,177cm,68kg,LWB,2024,Brendan Rodgers,2.02 Years
W. Fofana,20,France,Leicester,€29M,Right,3,190cm,76kg,CB,2025,Brendan Rodgers,2.02 Years
J. Evans,33,Northern Ireland,Leicester,€10M,Right,6,188cm,77kg,CB,2023,Brendan Rodgers,2.02 Years
J. Vestergaard,28,Denmark,Leicester,€13.5M,Right,23,199cm,96kg,CB,2024,Brendan Rodgers,2.02 Years
21 Sidnei Tavares,18,Portugal,Leicester,€825K,Right,50,188cm,64kg,CAM,2021,Brendan Rodgers,2.02 Years
F. Benković,23,Croatia,Leicester,€2.7M,Right,15,194cm,91kg,CB,2023,Brendan Rodgers,2.02 Years
T. Suengchitthawon,21,Thailand,Leicester,€600K,Right,48,167cm,56kg,RM,2022,Brendan Rodgers,2.02 Years
J. Eppiah,22,Belgium,Leicester,€975K,Left,34,175cm,73kg,ST,2023,Brendan Rodgers,2.02 Years
A. Reghba,21,Republic of Ireland,Leicester,€500K,Right,44,180cm,72kg,CAM,2022,Brendan Rodgers,2.02 Years
21 L. Ndukwu,21,England,Leicester,€550K,Left,30,177cm,72kg,CAM,2021,Brendan Rodgers,2.02 Years
